 Year       Month  Enso3,4       solar          QBO1          QBO2            EHF_NH          EHF_SH         AO         AAO
 1994.6250  8      0.5300000      0.1522470       2.468490       2.136040       105.9720      -45.96790      0.9284000      0.2239000
 1994.7083  9      0.4800000      0.1522200       3.018690       1.360290       4.703200      -56.42890    -0.08410000     -0.7231000
 1994.7917 10      0.7500000      0.1532080       3.355790      0.3937210       12.20750      -81.28290     0.08990000      -1.300900
 1994.8750 11       1.110000      0.1527260       3.333990     -0.4641410       26.28950      -81.28290       1.869300      -1.300900
 1994.9583 12       1.250000      0.1530910       2.665250      -1.151430       40.86550      -81.28290       2.763100      -1.300900
 1995.0417  1       1.020000      0.1527370       1.535400      -1.409940       62.88150      -81.28290       2.609300      -1.300900
 1995.1250  2      0.7300000      0.1537050      0.9623870      -1.447040       71.54630      -81.28290       4.038200      -1.300900
 1995.2083  3      0.4600000      0.1531100      0.7440060      -1.642310       85.14130      -4.800000       4.431400     -0.1544000
 1995.2917  4      0.2800000      0.1521480      0.1394880      -1.843390       97.07330      -11.13380       3.468300      0.4944000
 1995.3750  5     -0.1100000      0.1519160     -0.7711900      -1.832820       97.07330      -18.08770       3.468300       1.891100
 1995.4583  6     -0.1400000      0.1522750      -1.184090      -1.628000       97.07330      -23.38280       3.468300       1.089100
 1995.5417  7     -0.2100000      0.1522270      -1.475900      -1.471800       97.07330      -32.97430       3.468300      -1.920600
 1995.6250  8     -0.6300000      0.1522640      -1.565770      -1.307380       97.07330      -43.91630       3.468300      -2.617100
 1995.7083  9     -0.8400000      0.1519360      -1.566600     -0.9901640       4.927200      -54.13030     -0.5490000      -1.443800
 1995.7917 10     -0.8800000      0.1523050      -1.869270     -0.5942720       11.72350      -69.55330     -0.4740000      -1.500800
 1995.8750 11      -1.100000      0.1519510      -1.781840    -0.07073310       22.55250      -69.55330      -1.197300      -1.500800
 1995.9583 12     -0.9500000      0.1516640      -1.473520      0.2841670       36.01950      -69.55330      -3.324400      -1.500800
 1996.0417  1     -0.8600000      0.1517130      -1.787540      0.3637750       56.80650      -69.55330      -4.524800      -1.500800
 1996.1250  2     -0.8600000      0.1512700      -2.025350      0.4714570       73.13850      -69.55330      -4.361600      -1.500800
 1996.2083  3     -0.6100000      0.1510390      -2.063930      0.6150890       89.68750      -4.838100      -5.844800      0.5435000
 1996.2917  4     -0.4700000      0.1510520      -2.143740       1.016790       101.3780      -9.957500      -7.369900      0.6585000
 1996.3750  5     -0.3800000      0.1513430      -1.587200       1.573900       101.3780      -16.70850      -7.369900       1.641700
 1996.4583  6     -0.4400000      0.1515430     -0.4157900       2.112180       101.3780      -27.90250      -7.369900       1.389700
 1996.5417  7     -0.4400000      0.1516780      0.4651300       2.467790       101.3780      -37.33250      -7.369900       1.410600
 1996.6250  8     -0.2200000      0.1519440      0.9635970       2.546180       101.3780      -45.62250      -7.369900    -0.09130000
